"product_name","new_cat","new_subcat","cat","subcat"
"Sennheiser PC 8 On Ear Headphone with Mic (Black)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sennheiser PX 80 On Ear Headphone (Silver)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Set Of 5 Aux Cable 3.5 Mm Stereo Audio For Cars/mobile/mp3s/ipods","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Audio and Video Accessories"
"Sgt Samsung J5 Headphones With Mic - White","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sheffield Electric Slicer-SH-99 Coloured","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Shivanka Juicer White","Home and Kitchen","Kitchenware","Electronics and Appliances","Home Appliances"
"Shoprik Remote Airplane 2 Channel Radio Control","Toys and Games","null","Electronics and Appliances","Audio and Video Accessories"
"Signature High Quality Earphone With Mic-3.5mm- White","Computers, Laptops and Accessories","Headphones and Mics","Electronics and Appliances","Headphones and Earphones"
"Silco Audio 3.5mm Stereo Headphone Splitter Connector/cable For Samsung Htc Nokia Sony","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Silco Bolts Talk Series Earphone With Mic","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Singer Auro 750 W Dry Iron (White & Red)","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Singer IK-85 Induction Cooker","Home and Kitchen","Kitchenware","Electronics and Appliances","Home Appliances"
"Singer Multi Stitch Sewing Machine","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Sk Metal Pink Mobile Holder  Mobile Stand  Ac Remote Holder  Tv Remote Holder  Remote Stand","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Audio and Video Accessories"
"Skull Candy Ear phone","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skull Candy Earphone   S21KDY","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Skullcandy Headphone","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy In-Ear Headset Smokin Buds 2 W/Mic (Blue/Lime)(1.0)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Skullcandy INKD 2 In Ear Earphones with Mic (Red)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Skullcandy Inkd Earphone","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy Inkd S2ikdy In Ear Earphones With Mic - Black","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy INKD S2IKDY-003 In Ear Earphones with Mic (Black)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy INKD S2IKDY-010 In Ear Earphones with Mic (Red)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy INKD S2IKDY-101 In Ear Earphones with Mic (Blue)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy INKD S2IKDY-101 In Ear Earphones with Mic (Blue),Skullcandy INKD S2IKDY-101 In Ear Earphones with Mic (Blue)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Skullcandy INKD S2IKDY-102 In Ear Earphones with Mic (Green)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy Inkd S2ikdy-106 With Mic Earphones (purple/ Black)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy INKD S2IKDY-133 In Ear Earphones with Mic (Pink)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy Metal Jacket Earphones","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy S2DUDZ-058 Headphones","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy S2DUFZ-385 JIB In Ear Earphones (Yellow and Black)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy S2IKDY-043 In Ear Earphones with Mic (Purple)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy S2IKDZ-144 In Ear Earphones (Gold & Black)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Skullcandy S4CHFZ- 318 Over Ear Headphones (Orange)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy S6SCGY-366 Over Ear Headphones (Orange and Khaki)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Skullcandy Uprock Plum","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"sky lantern","Home and Kitchen","null","Electronics and Appliances","Home Appliances"
"Skyline 1 LTR Electric Cordless Kettle","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Skyline Electric Cordless Kettle","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Skyline Sandwich Maker","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Smart LED Remote - Connects upto 20 Bulbs simultaneously","Home and Kitchen","Home Decor and Furnishing","Electronics and Appliances","TV"
"Sobo Roti Maker","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Solar Robot Kit 6 In 1","Toys and Games","null","Electronics and Appliances","Home Appliances"
"Sony DVP-SR370 DVD Player","Electronics and Appliances","null","Electronics and Appliances","Audio and Video Accessories"
"Sony Earphone Stereo Handfree MH750-Black","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony Ex 200 In Ear 3 5Mm Jack Earphone Headphone For Mobile  Laptop and iPod","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony Fontopia In-Ear Headphones - MDR-E8LP (Silver)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony Headphone MDR-Q140","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-AS200 In the Ear Headphone - Orange","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-AS200/LQE In the Ear Headphone - Blue","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-E8AP In Ear Earphones with Mic (Golden)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-E8LP Wired Headphones","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-EX110AP In Ear Earphones with Mic (Black)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-EX110LP In Ear Earphones (Red)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-EX110LP In Ear Earphones (White)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-G45 Neckband Over Ear Headphones (Black)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-XB450 On Ear Headphones (Red)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-XB450 On Ear Headphones (White)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-XB450 Over Ear Headphones (Black)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-ZX110 Voilet Headphone","Computers, Laptops and Accessories","Headphones and Mics","Electronics and Appliances","Headphones and Earphones"
"Sony MDR-ZX110/W On-the-ear (Circumaural) Closed Back Wired Headphone (WHITE)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony MDRZX110A Wired Headphones (White)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony Mh Ex 300 Wired Headset Ear Phone   SURC2","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony Mh-ex300ap Headset for Android & Windows Mobile Phones","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Audio and Video Accessories"
"Sony MH-EX300AP In-The-Ear Mobile Stereo Headset (Black)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Sony PUMPX Ultra Portable Bluetooth Speaker - White","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Audio and Video Accessories"
"SoundMAGIC ES18 Wired Headphone (Black & Silver)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Soundmagic Pl11 In-ear Powerful Bass Headphone- Red","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Sun Jar's Glass Solar Jar","Home and Kitchen","Home Decor and Furnishing","Electronics and Appliances","Home Appliances"
"Sunflame Glass Top 4 Burner Gas Stove (NEW) (ROI)","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Sunflame Glass Top 4 Burner Gas Stove NEW (MAH)","Home and Kitchen","Kitchenware","Electronics and Appliances","Home Appliances"
"Sunweb MP3 Player (Aluminium Metal) with Micro SD card Slot & Free Accessories","Electronics and Appliances","Portable Audio Players","Electronics and Appliances","Portable Audio Players"
"Sunweb Wireless Sports MP3 Player with Micro SD Card Slot","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Portable Audio Players"
"Surya Ecopower 3 Burner Gas Stove","Home and Kitchen","Kitchenware","Electronics and Appliances","Home Appliances"
"Surya Queen 3 Burner Gas Stove Automatic","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"TAG-100 Headphone Blue","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Tanasen Sv-111 Induction Cookers","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Targus Targus Laser Presentation Remote AMP13AP-52 Laser Presenter","Uncategorized","null","Electronics and Appliances","Audio and Video Accessories"
"Tata Nano Toy Model  Very Attractive Just Like Original Nano Car Red","Toys and Games","null","Electronics and Appliances","Portable Audio Players"
"Tata Sky Dth Set Top Box High Defination","Electronics and Appliances","null","Electronics and Appliances","Audio and Video Accessories"
"Tata Sky Hd Connection With 1 Month Services Free","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Audio and Video Accessories"
"Tata Sky HD Connection with 1 month Services Free (Dhamaal Mix Pack and HD Fee)","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Audio and Video Accessories"
"Tata Sky Sd Set Top Box + 1 Month Dhamaal Mix Pack","Electronics and Appliances","TV","Electronics and Appliances","Audio and Video Accessories"
"Tata Sky Universal Remote","Electronics and Appliances","null","Electronics and Appliances","Audio and Video Accessories"
"Tata Solar Diva 5L - Portable Lighting System (Lantern)","Uncategorized","null","Electronics and Appliances","Home Appliances"
"Tata Swach 18-Ltr Cristella Plus Water Purifier - Blue","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Tech.Mate. Handsfree Earphones For Samsung Galaxy S3 I9300 S7562 S6102 (White)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"TomTom - In Car GPS Navigation - Start 20 (4.3 Inch Touch Screen)","Automotive","Car Audio and GPS","Electronics and Appliances","Portable Audio Players"
"TomTom - In Car GPS Navigation - Start 25 (5.0 Inch Touch Screen)","Automotive","Car Audio and GPS","Electronics and Appliances","Portable Audio Players"
"Toy Story 3 (English) [Blu-ray 3D]","Movies, Music and Video Games","null","Electronics and Appliances","Audio and Video Accessories"
"Trans Receiver","Uncategorized","null","Electronics and Appliances","Audio and Video Accessories"
"Trans-Receiver","Uncategorized","null","Electronics and Appliances","Audio and Video Accessories"
"Trimmer (Nova)","Beauty Products and Personal Care","Shaving and Grooming","Electronics and Appliances","Home Appliances"
"Trio T4 Mobile Phone (Black & Green) + Trio T4 Mobile Phone (White & Purple) - Set of 2","Mobile Phone, Tablets and Accessories","Mobiles","Electronics and Appliances","Headphones and Earphones"
"TSC Handy Rechargeable LED Focus Torch","Uncategorized","null","Electronics and Appliances","Audio and Video Accessories"
"UNIC Car Utility Kit","Automotive","Car Accessories","Electronics and Appliances","Portable Audio Players"
"UNIC Multimedia Projector - White","Electronics and Appliances","Projectors","Electronics and Appliances","Audio and Video Accessories"
"USP Labs Jack 3D Advanced 230 gm (Flavor: Blue Respberry)","Health and Wellness","Protein and Health Supplements","Electronics and Appliances","Audio and Video Accessories"
"V Max - Shubham Radio Control 2 Channel Helicopter","Toys and Games","null","Electronics and Appliances","Audio and Video Accessories"
"V2 Standard ELiquid Kit   Auto Stainless Steel BatteryCONGRESS 18 FULL  -Nicotine Content 1.8%","Uncategorized","null","Electronics and Appliances","Home Appliances"
"vBera 4 SIM 4.0 inch Touch Screen Dual Camera TV Mobile - VB X9","Mobile Phone, Tablets and Accessories","Mobiles","Electronics and Appliances","Audio and Video Accessories"
"VEG FRU WASH - World s safest vegetable and fruit washing cleaner.","Home and Kitchen","Kitchenware","Electronics and Appliances","Home Appliances"
"VENTS EXHAUST","Electronics and Appliances","null","Electronics and Appliances","Home Appliances"
"Victor MP3 Player","Automotive","Car Audio and GPS","Electronics and Appliances","Portable Audio Players"
"Virtue 2 Jar VMG-125 Mixer Grinder","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Viva Mini Bluetooth Speaker Black","Electronics and Appliances","Speakers","Electronics and Appliances","Portable Audio Players"
"Vizio Android Shape Speaker With Tf Card Slot/usb (White)","Automotive","Car Accessories","Electronics and Appliances","Portable Audio Players"
"VOX 4 SIM Touch Screen TV Mobile with Dual Camera - V6666","Mobile Phone, Tablets and Accessories","Mobiles","Electronics and Appliances","Audio and Video Accessories"
"Wahl 05567-324 Ear Nose & Eyebrow Trimmer Black","Beauty Products and Personal Care","Shaving and Grooming","Electronics and Appliances","Headphones and Earphones"
"WELiT Pir Ceiling Mount Motion Sensor","Home and Kitchen","null","Electronics and Appliances","Home Appliances"
"Whirlpool Classic-18A2 Induction Cooktop","Electronics and Appliances","Home and Kitchen Appliances","Electronics and Appliances","Home Appliances"
"Whirlpool NX20-D2 Induction  Cooker","Home and Kitchen","Kitchenware","Electronics and Appliances","Home Appliances"
"Whitelite 5W Led Rechargeable Emergency Light Tube With AUTO ON Feature","Home and Kitchen","Home Decor and Furnishing","Electronics and Appliances","Home Appliances"
"Wolta Black Earphone Without Mic For Samsung Smart Phones","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"XElectron M998 Watch Mobile Phone (Pink)","Watches, Eyewear and Jewellery","Watches","Electronics and Appliances","Headphones and Earphones"
"Xenos - MACAW-40 FM / USB Player","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Portable Audio Players"
"Xfose Earpods Handsfree Headset For Apple Iphone 5S (Blue)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Xfose Earpods Handsfree Headset For Apple Iphone 5S (White)","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Xiaomi MI Earphone with Mic For Mi3  Redmi 1s  mi4  redmi note","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Xiaomi Mi In-ear Headphone(piston Design)","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"XIAOMI Piston Earphone Headphone Headset Earbud with Remote & Mic","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Xiaomi Piston Earphones - brown","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Xiaomi V2 Gold Piston Wired Earphones With Mic","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Zdo Black Flexible Led Torch Flashlight","Home and Kitchen","Home Decor and Furnishing","Electronics and Appliances","Audio and Video Accessories"
"Zebronics Guitar MP3 Player","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Portable Audio Players"
"Zebronics Head Phone With Mic Colt Blue","Electronics and Appliances","Headphones and Earphones","Electronics and Appliances","Headphones and Earphones"
"Zebronics Node MP3 Player","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Portable Audio Players"
"Zebronics Node MP3 Player (Blue)","Electronics and Appliances","Audio and Video Accessories","Electronics and Appliances","Portable Audio Players"
"Zebronics Node MP3 Player (Pink)","Electronics and Appliances","Portable Audio Players","Electronics and Appliances","Portable Audio Players"
"Zebroniocs Bluetooth Headset","Mobile Phone, Tablets and Accessories","Mobile Accessories","Electronics and Appliances","Headphones and Earphones"
"Zen 105 FireFox Smartphone with TLX 2200mAh PowerBank - Black","Mobile Phone, Tablets and Accessories","Mobiles","Electronics and Appliances","Headphones and Earphones"
"Zen X8 Auto Call Recorder & Data Security Feature-Black","Mobile Phone, Tablets and Accessories","Mobiles","Electronics and Appliances","Audio and Video Accessories"
"Muscle Blaze Fat Burner   90 Capsules (Flavour: others)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Muscle Juice Revolution 2600","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Muscletech 100% Mass Gainer - 12 LBS (5.4 Kg)- Chocolate (Flavour: Strawberry)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Muscletech 100% Mass Gainer 12 Lbs - Chocolate","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Muscletech Nitrotech Performance Series Milk Chocolate 4 lbs (Flavour: Milk Chocolate),Muscletech Nitrotech Performance Series Milk Chocolate 4 lbs (Flavour: Milk Chocolate)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Navkar Khattameetha Namkeen Pack - 500 Gm","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"ON 100% Whey Gold - 5 lbs. (Flavour: Delicious Strawberry)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"On 100% Whey Gold Standard -1 Lbs (Flavour: Chocolate)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Organic India Tulsi Green 25 Tea Bags (Set Of 2)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Organic India Tulsi Green 25 Tea Bags Set Of 6","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Organic India Tulsi Green Tea Tin Set Of 5","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Packet","Uncategorized","null","Grocery and Gourmet Food",
"Pva Mop","Home and Kitchen","null","Grocery and Gourmet Food",
"Rage 90 Gms Congratulations Chocolate","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"Rage 90 Gms Let Me Take A Selfie Chocolate","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"Raymond Chocolate Brown Trouser Fabric (Size: 1.20 meter)","Apparel and Accessories","Men's Clothing","Grocery and Gourmet Food",
"Royal Kirana And General Store Walnut Shelled - 1 Kg","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"Sarv Alovera Drinking Juice","Health and Wellness","null","Grocery and Gourmet Food",
"Shalimar Saffron - 2grams","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"Six Pack Nutrition 100% Whey,2 Kg (Flavor: Choco Caramel)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Stamin-mega Mass 3kg Chocolate Flavour Weight Gainer (Flavour: Chocolate)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Suman Cauliflower  Brinjal  Frenchbeans  Cabbage  Peas And Tomato - Combo Pack Of 6","Home and Kitchen","null","Grocery and Gourmet Food",
"Sunfeast Yumfills Whoopie Pie","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"Tara Amino Mass-1kg (Flavour: Vanilla)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Tea Bag","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"TEA GIFT","Unclear","null","Grocery and Gourmet Food",
"Tulsi Tea,Chilled Rasam","Grocery and Gourmet Food","null","Grocery and Gourmet Food",
"Venky'S Mass Gainer 1 Kg - Chocolate","Health and Wellness","Homeopathy","Grocery and Gourmet Food",
"Vigour Fuel Creatine Monohydrate-300g (Flavour: Natural)","Health and Wellness","Protein and Health Supplements","Grocery and Gourmet Food",
"Vsr Pack Of 6 Khus Syrup","Health and Wellness","Pharmacy Products","Grocery and Gourmet Food",
"Wingreens Farms The Just Baked Combo (Pita Bread Crisps  Chili Garlic Pita Bread Crisps  Bruschetta And Multigrain Flatbread)","Grocery and Gourmet Food","Frozen Food Items","Grocery and Gourmet Food",
"Zevar ki baraat by Sanskruti","Watches, Eyewear and Jewellery","Jewellery","Grocery and Gourmet Food",
"New - Multipurpose HandBag Organizer - Red","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"NotBad Red Sling Bag:Handbags","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"Novex Black Stylish Backpack","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"One Love Bob Marley Shoulder Bag","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"Oplus XonPhone 5 (Color: Grey)","Mobile Phone, Tablets and Accessories","Mobiles","Handbags, Bags and Luggage",
"Ox Biege Fashionable Leather Wallet","Handbags, Bags and Luggage","Wallets","Handbags, Bags and Luggage",
"Pick Pocket Black Sling Bag:Handbags","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"Pick Pocket Red Sling Bag:Handbags","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"Puma BMW Motorsport Backpack","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"Puma Ferrari LS Reporter Messenger Bag","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"Puma Laptop Bag  Blue Black","Computers, Laptops and Accessories","Computer Components and Accessories","Handbags, Bags and Luggage",
"R-dzire Backpack","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"Route L-CC1305-2 Card Holder/Wallet","Apparel and Accessories","Men's Accessories","Handbags, Bags and Luggage",
"S.s.v. Exports Genuine Leather Business Card Holder - Black","Apparel and Accessories","null","Handbags, Bags and Luggage",
"Senterlan 1006 Grey Travel Backpack","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"SKJ Swiss Army Knife","Tools and Hardware","Other Tools","Handbags, Bags and Luggage",
"Skybags Surf 03 Red Backpack","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"SLING BAG","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"Speed Dot Six Pocket Women Red Shoulder Bag","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"Stylish Black  amp  Brown Belt with Wallet","Apparel and Accessories","Men's Accessories","Handbags, Bags and Luggage",
"Stylish Ladies Handbag","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"The House of Tara HTBP-023 Red Backpacks","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"Tommy Hilfiger Bi-fold Leather Wallet For Men","Apparel and Accessories","Men's Accessories","Handbags, Bags and Luggage",
"Tommy Hilfiger Brown Genuine Leather Belt (Size: 38)","Apparel and Accessories","Men's Accessories","Handbags, Bags and Luggage",
"tool bag","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"Trendy Black Sling Bag With Embroidery and Woolen Beads Key Chain,","Handbags, Bags and Luggage","Handbags and Clutches","Handbags, Bags and Luggage",
"Tri Fold Leather Wallet","Handbags, Bags and Luggage","Wallets","Handbags, Bags and Luggage",
"Urfashion Stylish And Designer Brown Mens Wallet And Green Colored Credit Card Holder","Handbags, Bags and Luggage","Wallets","Handbags, Bags and Luggage",
"Victorinox 7 Tool Pocket","Tools and Hardware","Other Tools","Handbags, Bags and Luggage",
"Victorinox Hercules Pocket","Sports and Outdoors","Outdoor Gear","Handbags, Bags and Luggage",
"WALLET","Handbags, Bags and Luggage","Wallets","Handbags, Bags and Luggage",
"Wallet Arcade Woodland Black Wallet For Man","Apparel and Accessories","Men's Accessories","Handbags, Bags and Luggage",
"Wildcraft Daypack A4 20 L Backpack","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"Wildcraft Pac N Go Sling Bag","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"Wildcraft Wallet","Apparel and Accessories","Men's Accessories","Handbags, Bags and Luggage",
"Wildhorn Black Genuine Leather Hand Crafted Wallet","Handbags, Bags and Luggage","Wallets","Handbags, Bags and Luggage",
"Xblues Women Navy Jeggings:Jeggings","Apparel and Accessories","Women's Clothing","Handbags, Bags and Luggage",
"Yark Black Polyester Gym Duffle Bag","Sports and Outdoors","Sports Gear and Equipments","Handbags, Bags and Luggage",
"York Men Exzotyk Perfume:Perfumes,Puma Men Black Messenger Bag:Messenger Bag","Beauty Products and Personal Care","Deodrants and Fragrances","Handbags, Bags and Luggage",
"Nova Cordless NHT 1045 O Trimmer For Men","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Nova Hair Trimmer for Men Beard  amp  Mustache","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Nova PRC NHT-1011 Rechargeable Hair Trimmer For Men (White)","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Nova PRC Rechargeable Electric Hair & Beard Trimmer With Grooming Clipper - NHC-3728","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Old Spice After Shave Lotion - Musk","Beauty Products and Personal Care","Skin Care","Health and Wellness",
"One Touch Select Glucose Monitor- Free 10 Strip","Health and Wellness","Bp and Heart Rate Monitors","Health and Wellness","Health Devices"
"Panasonic Diagnostic EW 3106 Upper Arm Blood Pressure Monitor","Health and Wellness","Bp and Heart Rate Monitors","Health and Wellness",
"Panasonic ER206 Trimmer","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Park Avenue Fashion Brief (Size: 90)","Apparel and Accessories","Men's Clothing","Health and Wellness",
"Philips  QT4005/15 Beard and Stubble Trimmer","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Philips AquaTouch AT756 Shaver For Men","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Philips Beard and Stubble Trimmer M Power Play QT4005/15","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Philips Beard BT3200 Trimmer For Men","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Philips BT3200/15 Trimmer Black","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
"Philips QT4000 Trimmer Black","Beauty Products and Personal Care","Shaving and Grooming","Health and Wellness",
